stock#,carline,description,fa,colour,loc,dest loc,list price,age,age,deal,status,open ro/po
"320479076","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","ECOTRONIC GREY","DAHY","","42313.64","","22","","IN-STOCK","N"
"320479080","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","MIRAGE GREEN","DAHY","","41772.73","","22","","IN-STOCK","N"
"320478243","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ATLAS WHITE","DAHY","","30673.27","","21","DH17821","DEAL PEND","Y"
"320466611","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25918.95","","20","DH17833","DEAL PEND","Y"
"320466616","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25874.60","","20","DH17832","DEAL PEND","Y"
"320466638","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25891.96","","20","DH17834","DEAL PEND","Y"
"320477560","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","31387.50","","19","","IN-STOCK","N"
"320477561","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","17","","IN-STOCK","N"
"320461769","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25918.95","","17","DH17835","DEAL PEND","Y"
"520114530","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25862.04","","17","DH17831","DEAL PEND","Y"
"520114533","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25693.43","","17","DH17830","DEAL PEND","Y"
"320477562","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","16","","IN-STOCK","N"
"320478140","SANTA FE HEV","MX5.V2 S.FE HEV 7S CAL BLK 1.6T AWD AUTO","","TYPHOON SILVER","DAHY","","75346.18","","16","DHF5835","DEAL PEND","Y"
"320461759","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","DENIM BLUE","DAHY","","26305.38","","16","DH17824","DEAL PEND","N"
"320475351","I30","PDE.V6 I30 N HATCH PREM S.ROOF 2.0P DCT","","ECOTRONIC GREY","DAHY","","53226.04","","14","","IN-STOCK","N"
"320475352","I30","PDE.V6 I30 N HATCH PREM S.ROOF 2.0P DCT","","ECOTRONIC GREY","DAHY","","52813.64","","10","","IN-STOCK","N"
"320461541","PALISADE","LX3.V1 PALISADE 7S CAL 2.5T HEV AT AWD","","ABYSS BLACK","DAHY","","82798.50","","10","DH17827","DEAL PEND","N"
"420417171","I20","BC3.V2 I20 N TTR 1.6P MAN","","PERFORMANCE BLUE + BLACK ROOF","DAHY","","35000.00","","9","","IN-STOCK","N"
"420417172","I20","BC3.V2 I20 N TTR 1.6P MAN","","PERFORMANCE BLUE + BLACK ROOF","DAHY","","35376.87","","9","","IN-STOCK","Y"
"320477425","KONA","SX2.V3 KONA 2.0P CVT","","ATLAS WHITE","DAHY","","30636.36","","9","","IN-STOCK","N"
"320477426","KONA","SX2.V3 KONA 2.0P CVT","","ATLAS WHITE","DAHY","","30636.36","","9","","IN-STOCK","N"
"320478861","KONA HEV","SX2.V3 KONA HEV PRM N LINE SRF 1.6P DCT","","SOULTRONIC ORANGE","DAHY","","45453.31","","9","","IN-STOCK","N"
"320478862","KONA HEV","SX2.V3 KONA HEV PRM N LINE SRF 1.6P DCT","","SOULTRONIC ORANGE","DAHY","","45040.91","","9","","IN-STOCK","N"
"320479509","KONA HEV","SX2.V3 KONA HEV PRM N LINE SRF 1.6P DCT","","CYBER GREY","DAHY","","45417.78","","9","","IN-STOCK","Y"
"320481481","SANTA FE HEV","MX5.V2 SANTA FE HEV 7S 1.6T 2WD AUTO","","ABYSS BLACK","DAHY","","53566.89","","9","DHF5811","DEAL PEND","N"
"320479554","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","DRAGON RED","DAHY","","57036.37","","8","","IN-STOCK","N"
"320481291","I30 SEDAN","CN7.V4 I30 SEDAN N PREM S.ROOF 2.0P DCT","","ECOTRONIC GREY","DAHY","","50917.78","","8","","IN-STOCK","Y"
"320479376","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","ABYSS BLACK","DAHY","","42313.64","","8","","IN-STOCK","N"
"320475623","STARIA","US4.V4 STARIA LOAD HEV 2S 1.6T LBACK AT","","CREAMY WHITE","DAHY","","48627.27","","8","","IN-STOCK","N"
"320478387","STARIA","US4.V4 STARIA LOAD HEV PRM 1.6T LBACK AT","","CREAMY WHITE","DAHY","","55672.73","","8","","IN-STOCK","N"
"320481146","TUCSON HEV","NX4.V4 TUCSON ELITE N LINE 1.6T HEV 2WD","","PHANTOM BLACK","DAHY","","46909.09","","8","","IN-STOCK","N"
"620265418","VENUE","QX.V5 VENUE 1.6P AUTO","","ATLAS WHITE","DAHY","","23409.09","","8","","IN-STOCK","N"
"320479081","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","MIRAGE GREEN","DAHY","","42175.78","","8","","STOCK SWAP","N"
"320476457","STARIA","US4.V4 STARIA LOAD HEV 2S 1.6T TSWING AT","","CREAMY WHITE","DAHY","","48627.27","","8","DH17843","DEAL PEND","Y"
"620265407","VENUE","QX.V5 VENUE 1.6P AUTO","","ATLAS WHITE","DAHY","","23409.09","","7","","IN-STOCK","N"
"620265411","VENUE","QX.V5 VENUE 1.6P AUTO","","ATLAS WHITE","DAHY","","23409.09","","7","","IN-STOCK","N"
"620265414","VENUE","QX.V5 VENUE 1.6P AUTO","","ATLAS WHITE","DAHY","","23409.09","","7","","IN-STOCK","N"
"320472315","KONA HEV","SX2.V3 KONA HEV 1.6P DCT","","ABYSS BLACK","DAHY","","34131.82","","3","","IN-STOCK","Y"
"320476387","PALISADE","LX3.V2 PALISADE 7S CAL 2.5T HEV AT AWD","","CLASSY BLUE","DAHY","","81261.68","","1","","IN-STOCK","N"
"320476385","PALISADE","LX3.V2 PALISADE 8S CAL 2.5T HEV AT AWD","","CLASSY BLUE","DAHY","","80562.38","","1","","IN-STOCK","N"
"320480394","PALISADE","LX3.V2 PALISADE 8S ELITE 2.5T HEV AT AWD","","CLASSY BLUE","DAHY","","70227.27","","1","","IN-STOCK","N"
"320477541","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","META BLUE","DAHY","","30768.18","","0","","IN-STOCK","N"
"320477542","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","META BLUE","DAHY","","30768.18","","0","","IN-STOCK","N"
"320477543","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","META BLUE","DAHY","","30768.18","","0","","IN-STOCK","N"
"320478196","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","0","","IN-STOCK","N"
"320478197","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","0","","IN-STOCK","N"
"320478198","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","0","","IN-STOCK","N"
"320478199","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","0","","IN-STOCK","N"
"320478200","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","0","","IN-STOCK","N"
"320478201","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","0","","IN-STOCK","N"
"320481280","I30 SEDAN","CN7.V4 I30 SEDAN N LINE PRM 1.6P DCT","","AMAZON GREY","DAHY","","39177.27","","0","","IN-STOCK","N"
"320480581","KONA HEV","SX2.V3 KONA HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","34131.82","","0","","IN-STOCK","Y"
"320480613","KONA HEV","SX2.V3 KONA HEV 1.6P DCT","","ATLAS WHITE","DAHY","","33590.91","","0","","IN-STOCK","N"
"320479812","PALISADE","LX3.V2 PALISADE 8S CAL BLK 2.5T HEV AT","","ABYSS BLACK","DAHY","","82092.81","","0","","IN-STOCK","N"
"320479913","SANTA FE HEV","MX5.V2 S.FE HEV 6S CAL BLK 1.6T AWD AUTO","","EARTHY BRASS MATTE","DAHY","","71500.00","","0","","IN-STOCK","N"
"320474520","SANTA FE HEV","MX5.V2 S.FE HEV 7S ELITE 1.6T AWD AUTO","","PEBBLE BLUE","DAHY","","61727.27","","0","","IN-STOCK","N"
"320417900*O","I30 SEDAN","CN7.V2 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30000.00","","","","ON-ORDER","N"
