stock#,carline,description,fa,colour,loc,dest loc,list price,age,age,deal,status,open ro/po
"320470315","SANTA FE HEV","MX5.V2 S.FE HEV 7S CAL BRN 1.6T AWD AUTO","","ABYSS BLACK","DAHY","","75787.37","","183","DH17837","DEAL PEND","N"
"320471006","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","ATLAS WHITE","DAHY","","42244.38","","181","","STOCK SWAP","N"
"320470929","KONA HEV","SX2.V3 KONA HEV PRM N LINE SRF 1.6P DCT","","CYBER GREY","DAHY","","45820.88","","181","DH17851","DEAL PEND","Y"
"320468407","I30 SEDAN","CN7.V4 I30 SEDAN 2.0P CVT","","ECOTRONIC GREY","DAHY","","27993.64","","181","","DEMO","N"
"320469452","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","MEDIUM GREY","DAHY","","57593.97","","176","","DEMO","N"
"320471318","KONA","SX2.V3 KONA PRM SRF 2.0P CVT","","MIRAGE GREEN","DAHY","","39233.73","","175","","IN-STOCK","N"
"320470950","KONA HEV","SX2.V3 KONA HEV PRM N LINE SRF 1.6P DCT","","ATLAS WHITE","DAHY","","44903.05","","175","","STOCK SWAP","N"
"320470866","KONA HEV","SX2.V3 KONA HEV ELITE 1.6P DCT","","ECOTRONIC GREY","DAHY","","37409.01","","175","","DEMO","N"
"320469036","SANTA FE HEV","MX5.V2 S.FE HEV 7S CAL BLK 1.6T AWD AUTO","","ABYSS BLACK","DAHY","","71345.93","","170","","IN-STOCK","Y"
"320470037","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","WHITE CREAM","DAHY","","39517.08","","169","","DEMO","N"
"520115196","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","MEDIUM GREY","DAHY","","57036.37","","167","","IN-STOCK","N"
"520115193","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","MEDIUM GREY","DAHY","","57593.97","","167","","DEMO","N"
"320470151","I30 SEDAN HEV","CN7.V4 I30 SEDAN ELITE HEV 1.6P DCT","","META BLUE","DAHY","","35735.91","","164","DH17448","DEAL PEND","Y"
"520115192","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","MEDIUM GREY","DAHY","","57036.37","","163","","IN-STOCK","N"
"520115194","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","MEDIUM GREY","DAHY","","57036.37","","163","","IN-STOCK","N"
"520115195","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","MEDIUM GREY","DAHY","","57036.37","","163","","IN-STOCK","N"
"520115197","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","MEDIUM GREY","DAHY","","57572.72","","163","","DEMO","N"
