stock no,age,year,carline,description,reg no,odometer,colour,list price,loc,dest loc,status,open ro/po
"S5025306","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CL","29856","WHITE/BLACK","23990.00","S52USED","","IN-STOCK","N"
"S5025307","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CK","25160","WHITE/BLACK","22990.00","S52USED","","IN-STOCK","N"
"S5025308","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LD","25500","WHITE/BLACK","23990.00","S52USED","","IN-STOCK","N"
"S5025317","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CS","19745","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025318","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2BE9FA","21594","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025320","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CN","16521","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025325","34","19","TUCSON","TL4 MY20 ACTIVE X WAGON 5DR AUTO 6SP 2WD 2.0I","1PY5PH","97701","WHITE","20990.00","DAKI","","DEAL PEND","N"
"S5025346","31","22","TUCSON","NX4.V1 MY22 ELITE WAGON 5DR SA 8SP AWD 2.0DT","1VE3QB","80631","GREY/BLACK","29990.00","DAKI","","IN-STOCK","N"
"S5025383","29","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IC","13917","WHITE","21990.00","DAKI","","DEAL PEND","N"
"S5025384","29","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IN","25766","WHITE","22590.01","DAKI","","DEAL PEND","Y"
"S5025385","29","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2ID","15798","WHITE","21990.00","DAKI","","DEAL PEND","Y"
"S5025392","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LM","34244","WHITE/BLACK","20990.00","S52USED","","IN-STOCK","N"
"S5025394","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LJ","21561","WHITE/BLACK","22990.00","S52USED","","IN-STOCK","N"
"S5025396","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IL","24001","WHITE/BLACK","22990.00","S52USED","","IN-STOCK","N"
"S5025397","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KW","15676","WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025399","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KU","20129","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025401","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IB","21643","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025404","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2HL","16796","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025406","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CB","15801","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025407","28","15","TUCSON","TLE ACTIVE WAGON 5DR SA 6SP 2WD 534KG 2.0I","1PN5JD","116102","BLUE/BLACK","14990.00","DANDUSED","","DEAL PEND","Y"
"S5025395","28","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LN","17015","WHITE/BLACK","22991.10","S52USED","","DEAL PEND","N"
"S5025432","26","19","I30","PD2 MY20 ACTIVE HATCHBACK 5DR SA 6SP 2.0I","CDA974","94461","WHITE/BLACK","18490.00","FRUSED","","IN-STOCK","N"
"S5025429","26","13","I40","VF3 PREMIUM TOURER 5DR SA 6SP 1.7DT","1CB4OQ","266716","GREY","0.00","S52USED","","WHOLESALE","N"
"S5025442","24","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KV","24657","WHITE/GREY","20990.00","CRKU","","IN-STOCK","N"
"S5025466","23","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KZ","22867","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025480","22","17","I30","PD MY18 ACTIVE HATCHBACK 5DR SA 6SP 2.0I","2FQ2VR","128517","GREY","0.00","CRKU","","IN-STOCK","N"
